Date;Time;Temp
5/11/2017;10:33:34 AM;*
5/11/2017;10:45:00 AM;54.7
5/11/2017;11:00:00 AM;56.2
5/11/2017;11:15:00 AM;56.5
5/11/2017;11:30:00 AM;57.0
5/11/2017;11:45:00 AM;57.2
5/11/2017;12:00:00 PM;57.5
5/11/2017;12:15:00 PM;58.2
5/11/2017;12:30:00 PM;58.8
5/11/2017;12:45:00 PM;58.5
5/11/2017;1:00:00 PM;58.5
5/11/2017;1:15:00 PM;58.7
5/11/2017;1:30:00 PM;58.9
5/11/2017;1:45:00 PM;59.9
5/11/2017;2:00:00 PM;59.7
5/11/2017;2:15:00 PM;59.8
5/11/2017;2:30:00 PM;61.0
5/11/2017;2:45:00 PM;61.4
5/11/2017;3:00:00 PM;61.3
5/11/2017;3:15:00 PM;62.8
5/11/2017;3:30:00 PM;62.0
5/11/2017;3:45:00 PM;60.1
5/11/2017;4:00:00 PM;58.1
5/11/2017;4:15:00 PM;59.5
5/11/2017;4:30:00 PM;58.4
5/11/2017;4:45:00 PM;58.9
5/11/2017;5:00:00 PM;59.9
5/11/2017;5:15:00 PM;60.5
5/11/2017;5:30:00 PM;61.4
5/11/2017;5:45:00 PM;60.2
5/11/2017;6:00:00 PM;60.1
5/11/2017;6:15:00 PM;60.9
5/11/2017;6:30:00 PM;60.4
5/11/2017;6:45:00 PM;59.2
5/11/2017;7:00:00 PM;58.1
5/11/2017;7:15:00 PM;57.1
5/11/2017;7:30:00 PM;55.5
5/11/2017;7:45:00 PM;53.9
5/11/2017;8:00:00 PM;52.9
5/11/2017;8:15:00 PM;52.1
5/11/2017;8:30:00 PM;51.5
5/11/2017;8:45:00 PM;50.4
5/11/2017;9:00:00 PM;48.3
5/11/2017;9:15:00 PM;47.0
5/11/2017;9:30:00 PM;46.8
5/11/2017;9:45:00 PM;46.6
5/11/2017;10:00:00 PM;46.0
5/11/2017;10:15:00 PM;45.8
5/11/2017;10:30:00 PM;47.1
5/11/2017;10:45:00 PM;49.1
5/11/2017;11:00:00 PM;49.6
5/11/2017;11:15:00 PM;49.4
5/11/2017;11:30:00 PM;49.7
5/11/2017;11:45:00 PM;49.5
5/12/2017;12:00:00 AM;49.7
5/12/2017;12:15:00 AM;50.1
5/12/2017;12:30:00 AM;50.0
5/12/2017;12:45:00 AM;49.7
5/12/2017;1:00:00 AM;49.6
5/12/2017;1:15:00 AM;49.6
5/12/2017;1:30:00 AM;49.9
5/12/2017;1:45:00 AM;50.1
5/12/2017;2:00:00 AM;49.9
5/12/2017;2:15:00 AM;49.7
5/12/2017;2:30:00 AM;49.6
5/12/2017;2:45:00 AM;49.4
5/12/2017;3:00:00 AM;49.3
5/12/2017;3:15:00 AM;48.7
5/12/2017;3:30:00 AM;48.2
5/12/2017;3:45:00 AM;48.1
5/12/2017;4:00:00 AM;47.8
5/12/2017;4:15:00 AM;46.8
5/12/2017;4:30:00 AM;46.1
5/12/2017;4:45:00 AM;45.3
5/12/2017;5:00:00 AM;45.4
5/12/2017;5:15:00 AM;45.3
5/12/2017;5:30:00 AM;44.4
5/12/2017;5:45:00 AM;44.4
5/12/2017;6:00:00 AM;44.3
5/12/2017;6:15:00 AM;43.5
5/12/2017;6:30:00 AM;43.3
5/12/2017;6:45:00 AM;43.6
5/12/2017;7:00:00 AM;44.1
5/12/2017;7:15:00 AM;46.1
5/12/2017;7:30:00 AM;46.7
5/12/2017;7:45:00 AM;47.8
5/12/2017;8:00:00 AM;49.2
5/12/2017;8:15:00 AM;50.0
5/12/2017;8:30:00 AM;51.4
5/12/2017;8:45:00 AM;53.4
5/12/2017;9:00:00 AM;55.3
5/12/2017;9:15:00 AM;56.0
5/12/2017;9:30:00 AM;57.2
5/12/2017;9:45:00 AM;56.6
5/12/2017;10:00:00 AM;57.4
5/12/2017;10:15:00 AM;58.3
5/12/2017;10:30:00 AM;58.9
5/12/2017;10:45:00 AM;59.0
5/12/2017;11:00:00 AM;59.0
5/12/2017;11:15:00 AM;58.5
5/12/2017;11:30:00 AM;59.8
5/12/2017;11:45:00 AM;59.3
5/12/2017;12:00:00 PM;59.3
5/12/2017;12:15:00 PM;60.0
5/12/2017;12:30:00 PM;60.1
5/12/2017;12:45:00 PM;60.9
5/12/2017;1:00:00 PM;61.5
5/12/2017;1:15:00 PM;61.6
5/12/2017;1:30:00 PM;59.4
5/12/2017;1:45:00 PM;61.7
5/12/2017;2:00:00 PM;61.9
5/12/2017;2:15:00 PM;61.8
5/12/2017;2:30:00 PM;61.6
5/12/2017;2:45:00 PM;61.5
5/12/2017;3:00:00 PM;61.2
5/12/2017;3:15:00 PM;60.4
5/12/2017;3:30:00 PM;60.3
5/12/2017;3:45:00 PM;62.1
5/12/2017;4:00:00 PM;59.8
5/12/2017;4:15:00 PM;59.5
5/12/2017;4:30:00 PM;59.9
5/12/2017;4:45:00 PM;59.8
5/12/2017;5:00:00 PM;59.7
5/12/2017;5:15:00 PM;59.9
5/12/2017;5:30:00 PM;59.2
5/12/2017;5:45:00 PM;58.3
5/12/2017;6:00:00 PM;58.6
5/12/2017;6:15:00 PM;56.3
5/12/2017;6:30:00 PM;55.9
5/12/2017;6:45:00 PM;54.8
5/12/2017;7:00:00 PM;54.0
5/12/2017;7:15:00 PM;53.0
5/12/2017;7:30:00 PM;52.8
5/12/2017;7:45:00 PM;51.8
5/12/2017;8:00:00 PM;51.0
5/12/2017;8:15:00 PM;50.1
5/12/2017;8:30:00 PM;49.9
5/12/2017;8:45:00 PM;49.6
5/12/2017;9:00:00 PM;49.0
5/12/2017;9:15:00 PM;48.8
5/12/2017;9:30:00 PM;48.3
5/12/2017;9:45:00 PM;48.0
5/12/2017;10:00:00 PM;47.7
5/12/2017;10:15:00 PM;47.4
5/12/2017;10:30:00 PM;47.2
5/12/2017;10:45:00 PM;47.4
5/12/2017;11:00:00 PM;47.1
5/12/2017;11:15:00 PM;46.6
5/12/2017;11:30:00 PM;45.8
5/12/2017;11:45:00 PM;45.1
5/13/2017;12:00:00 AM;44.5
5/13/2017;12:15:00 AM;44.1
5/13/2017;12:30:00 AM;45.3
5/13/2017;12:45:00 AM;45.2
5/13/2017;1:00:00 AM;45.2
5/13/2017;1:15:00 AM;44.4
5/13/2017;1:30:00 AM;42.8
5/13/2017;1:45:00 AM;41.8
5/13/2017;2:00:00 AM;41.3
5/13/2017;2:15:00 AM;41.9
