labelling_period	chamber	cycle	day_night	CH4_slope	CH4_intercept	delta_sec	Temp_kelvin	R_squared	combined_name	n_total	n_CH4	CH4_mass_grams	flux	Water	V_chamber_m3	A_chamber_m2	n_total_in_chamber	n_ch4_in_chamber	ch4_micrograms_per_second_in_chamber	ch4_micrograms_per_second_per_m2	ch4_micrograms_per_day_per_m2	ch4_micrograms_per_second_per_m2
L2	P01	8	Day	-3.72E-06	1.999934254	38400	306	0.97764959	L2_P01_8	1.98	1.98E-06	3.18E-05	1.39E-11	F	0.168215138	0.12939626	6.699248336	-2.49E-11	-3.99E-04	-0.0031	-266.3310	-0.003082535
L3	P01	0	Night	2.44E-06	2.060992428	33599	283	0.943565515	L3_P01_0	2.14	2.14E-06	3.43E-05	1.71E-11	F	0.168215138	0.12939626	7.243710215	1.77E-11	2.83E-04	0.0022	188.8359	0.002185601
L4	P01	11	Night	-2.08E-06	1.904226778	31507	276	0.924493418	L4_P01_11	5.72	5.72E-06	9.17E-05	4.88E-11	F	0.12939626	0.12939626	5.713405772	-1.19E-11	-1.90E-04	-0.0015	-127.0185	-0.001470121
L2	P01	4	Day	-1.97E-06	1.945510491	33602	306	0.915782193	L2_P01_4	1.98	1.98E-06	3.18E-05	1.58E-11	F	0.168215138	0.12939626	6.699248336	-1.32E-11	-2.12E-04	-0.0016	-141.3158	-0.0016356
L4	P01	7	Night	-2.24E-06	1.914220609	36899	275	0.905764832	L4_P01_7	5.74	5.74E-06	9.21E-05	4.18E-11	F	0.12939626	0.12939626	5.734181793	-1.29E-11	-2.06E-04	-0.0016	-137.4546	-0.00159091
L2	P01	6	Day	-2.61E-06	1.937432112	33601	311	0.898247343	L2_P01_6	1.95	1.95E-06	3.13E-05	1.56E-11	F	0.168215138	0.12939626	6.591543379	-1.72E-11	-2.76E-04	-0.0021	-184.0055	-0.002129693
L3	P01	9	Day	-2.12E-06	2.000010035	33595	296	0.892789174	L3_P01_9	2.05	2.05E-06	3.29E-05	1.64E-11	F	0.168215138	0.12939626	6.925574294	-1.47E-11	-2.35E-04	-0.0018	-156.5970	-0.001812465
L3	P01	1	Day	-7.87E-06	2.12145139	24005	298	0.887700708	L3_P01_1	2.03	2.03E-06	3.26E-05	2.27E-11	F	0.168215138	0.12939626	6.879093929	-5.41E-11	-8.66E-04	-0.0067	-578.4525	-0.006695052
L2	P01	0	Day	-1.40E-06	1.979218313	33606	305	0.885825325	L2_P01_0	1.99	1.99E-06	3.19E-05	1.59E-11	F	0.168215138	0.12939626	6.721213085	-9.42E-12	-1.51E-04	-0.0012	-100.5903	-0.00116424
L4	P01	8	Day	4.20E-06	1.787790226	22502	291	0.872497658	L4_P01_8	5.42	5.42E-06	8.69E-05	6.48E-11	F	0.12939626	0.12939626	5.41890032	2.28E-11	3.64E-04	0.0028	243.1473	0.002814205
L3	P01	24	Night	1.83E-06	1.953738209	33605	278	0.865561622	L3_P01_24	2.18	2.18E-06	3.50E-05	1.74E-11	F	0.168215138	0.12939626	7.373992773	1.35E-11	2.16E-04	0.0017	144.0327	0.001667045
L4	P01	0	Day	-2.78E-06	1.964555648	31497	306	0.84897597	L4_P01_0	5.16	5.16E-06	8.28E-05	4.40E-11	F	0.12939626	0.12939626	5.153267951	-1.43E-11	-2.30E-04	-0.0018	-153.2551	-0.001773786
L4	P01	3	Night	-1.37E-06	1.875752842	36004	283	0.818878135	L4_P01_3	5.57	5.57E-06	8.93E-05	4.16E-11	F	0.12939626	0.12939626	5.572084781	-7.66E-12	-1.23E-04	-0.0009	-81.8120	-0.000946899
L3	P01	2	Night	-1.16E-06	1.981418167	33600	283	0.800327007	L3_P01_2	2.14	2.14E-06	3.43E-05	1.71E-11	F	0.168215138	0.12939626	7.243710215	-8.41E-12	-1.35E-04	-0.0010	-89.8958	-0.001040461
L3	P01	5	Day	-1.28E-06	1.991783716	28800	300	0.757098847	L3_P01_5	2.02	2.02E-06	3.24E-05	1.89E-11	F	0.168215138	0.12939626	6.833233303	-8.73E-12	-1.40E-04	-0.0011	-93.2275	-0.001079022
L3	P01	13	Day	-6.20E-07	1.987125988	24001	286	0.733963293	L3_P01_13	2.12	2.12E-06	3.40E-05	2.37E-11	F	0.168215138	0.12939626	7.167727241	-4.44E-12	-7.11E-05	-0.0005	-47.4830	-0.000549572
L4	P01	9	Night	-1.27E-06	1.881753098	40507	278	0.718379312	L4_P01_9	5.68	5.68E-06	9.11E-05	3.77E-11	F	0.12939626	0.12939626	5.672302133	-7.20E-12	-1.15E-04	-0.0009	-76.9492	-0.000890616
L3	P01	4	Night	1.62E-06	1.958016937	33598	277	0.704562304	L3_P01_4	2.19	2.19E-06	3.51E-05	1.75E-11	F	0.168215138	0.12939626	7.400613686	1.20E-11	1.92E-04	0.0015	128.2405	0.001484265
L4	P01	2	Day	2.56E-06	1.82204628	26999	298	0.672799294	L4_P01_2	5.29	5.29E-06	8.49E-05	5.27E-11	F	0.12939626	0.12939626	5.291610715	1.36E-11	2.17E-04	0.0017	144.9933	0.001678164
L4	P01	14	Day	-2.80E-06	1.999852783	31502	302	0.662148388	L4_P01_14	5.22	5.22E-06	8.37E-05	4.45E-11	F	0.12939626	0.12939626	5.221523156	-1.46E-11	-2.34E-04	-0.0018	-156.4496	-0.00181076
L3	P01	7	Day	4.43E-07	1.992869813	14399	286	0.618857635	L3_P01_7	2.12	2.12E-06	3.40E-05	3.96E-11	F	0.168215138	0.12939626	7.167727241	3.17E-12	5.08E-05	0.0004	33.9186	0.000392576
L3	P01	19	Day	-8.60E-07	1.966079006	33599	290	0.617560968	L3_P01_19	2.09	2.09E-06	3.35E-05	1.67E-11	F	0.168215138	0.12939626	7.068862038	-6.08E-12	-9.72E-05	-0.0008	-64.9294	-0.000751497
L4	P01	6	Day	3.98E-06	1.854543782	22498	294	0.611157335	L4_P01_6	5.37	5.37E-06	8.61E-05	6.42E-11	F	0.12939626	0.12939626	5.363605418	2.14E-11	3.42E-04	0.0026	228.2728	0.002642046
L4	P01	15	Night	2.16E-06	1.958945479	35994	278	0.595944855	L4_P01_15	5.68	5.68E-06	9.11E-05	4.24E-11	F	0.12939626	0.12939626	5.672302133	1.23E-11	1.96E-04	0.0015	131.1787	0.001518271
L4	P01	4	Day	4.61E-06	1.813590407	22500	289	0.563996046	L4_P01_4	5.46	5.46E-06	8.76E-05	6.52E-11	F	0.12939626	0.12939626	5.45640136	2.52E-11	4.03E-04	0.0031	268.7887	0.00311098
L3	P01	20	Night	1.04E-06	1.949616735	33600	279	0.560904338	L3_P01_20	2.17	2.17E-06	3.48E-05	1.74E-11	F	0.168215138	0.12939626	7.347562691	7.63E-12	1.22E-04	0.0009	81.5680	0.000944074
L3	P01	23	Day	-1.32E-06	1.997242498	33605	304	0.526345041	L3_P01_23	1.99	1.99E-06	3.19E-05	1.59E-11	F	0.168215138	0.12939626	6.743322339	-8.87E-12	-1.42E-04	-0.0011	-94.7680	-0.001096851
L3	P01	6	Night	1.13E-06	1.967442107	33601	277	0.501455644	L3_P01_6	2.19	2.19E-06	3.51E-05	1.75E-11	F	0.168215138	0.12939626	7.400613686	8.33E-12	1.33E-04	0.0010	88.9937	0.001030019
L3	P01	14	Night	8.60E-07	1.96294487	33597	281	0.445653541	L3_P01_14	2.16	2.16E-06	3.46E-05	1.73E-11	F	0.168215138	0.12939626	7.295266872	6.27E-12	1.00E-04	0.0008	67.0173	0.000775663
L3	P01	10	Night	1.35E-06	1.963912123	33598	274	0.442592617	L3_P01_10	2.21	2.21E-06	3.54E-05	1.77E-11	F	0.168215138	0.12939626	7.481642303	1.01E-11	1.61E-04	0.0012	107.7554	0.001247169
L2	P01	2	Day	-9.50E-07	1.940624344	33598	307	0.432987718	L2_P01_2	1.97	1.97E-06	3.16E-05	1.58E-11	F	0.168215138	0.12939626	6.677426681	-6.34E-12	-1.01E-04	-0.0008	-67.7466	-0.000784105
L4	P01	12	Day	2.99E-06	1.863286364	31503	303	0.42678434	L4_P01_12	5.21	5.21E-06	8.36E-05	4.45E-11	F	0.12939626	0.12939626	5.204290406	1.56E-11	2.49E-04	0.0019	166.2293	0.001923951
L3	P01	22	Night	5.13E-07	1.959466376	33601	277	0.414798007	L3_P01_22	2.19	2.19E-06	3.51E-05	1.75E-11	F	0.168215138	0.12939626	7.400613686	3.80E-12	6.08E-05	0.0005	40.5816	0.000469694
L4	P01	1	Night	-7.14E-07	1.863145044	36002	278	0.414337136	L4_P01_1	5.68	5.68E-06	9.11E-05	4.24E-11	F	0.12939626	0.12939626	5.672302133	-4.05E-12	-6.48E-05	-0.0005	-43.2845	-0.000500978
L3	P01	8	Night	-9.38E-07	2.012892737	33600	283	0.411675615	L3_P01_8	2.14	2.14E-06	3.43E-05	1.71E-11	F	0.168215138	0.12939626	7.243710215	-6.79E-12	-1.09E-04	-0.0008	-72.5714	-0.000839947
L1	P01	9	Night	4.40E-07	1.942050144	24005	271	0.375734415	L1_P01_9	2.24	2.24E-06	3.59E-05	2.51E-11	F	0.168215138	0.12939626	7.564464911	3.33E-12	5.33E-05	0.0004	35.5774	0.000411776
L2	P01	5	Night	-8.02E-07	1.984424421	28800	281	0.374581749	L2_P01_5	2.16	2.16E-06	3.46E-05	2.02E-11	F	0.168215138	0.12939626	7.295266872	-5.85E-12	-9.36E-05	-0.0007	-62.5229	-0.000723645
L3	P01	17	Day	-5.36E-07	1.957873939	28798	294	0.3470902	L3_P01_17	2.06	2.06E-06	3.30E-05	1.92E-11	F	0.168215138	0.12939626	6.972687044	-3.74E-12	-5.98E-05	-0.0005	-39.9433	-0.000462307
