"TOA5","CR1000","CR1000","82164","CR1000.Std.32.02","CPU:Phage_Fauna_Labeling3_01-6.CR1","19871","Phage_Fauna_L3"
"TIMESTAMP","RECORD","epoch_time","batt_volt_Min","PTemp","P_Ctrl","T4E_1_kPa","T4E_2_kPa","Valve1Pos","Valve2Pos","Valve3Pos","Valve4Pos","PAR_In","InputString","CO2_12_ppm","CO2_1_ppm","IRGA_1_mV","IRGA_1_CO2(1)","IRGA_1_CO2(2)","IRGA_1_CO2(3)","IRGA_1_CO2(4)","IRGA_1_CO2(5)","IRGA_1_CO2(6)","IRGA_1_CO2(7)","IRGA_1_CO2(8)","IRGA_1_CO2(9)","IRGA_1_CO2(10)","IRGA_1_CO2(11)","IRGA_1_CO2(12)","IRGA_1_CO2(13)","IRGA_1_CO2(14)","IRGA_1_CO2(15)","IRGA_1_CO2(16)","Picarro_CO2(1)","Picarro_CO2(2)","Picarro_CO2(3)","Picarro_CO2(4)","Picarro_CO2(5)","Picarro_CO2(6)","Picarro_CO2(7)","Picarro_CO2(8)","Picarro_CO2(9)","Picarro_CO2(10)","Picarro_CO2(11)","Picarro_CO2(12)","Picarro_CO2(13)","Picarro_CO2(14)","Picarro_CO2(15)","Picarro_CO2(16)","SS1_Valve_ms(1)","SS1_Valve_ms(2)","SS1_Valve_ms(3)","SS1_Valve_ms(4)","SS1_Valve_ms(5)","SS1_Valve_ms(6)","SS1_Valve_ms(7)","SS1_Valve_ms(8)","SS1_Valve_ms(9)","SS1_Valve_ms(10)","SS1_Valve_ms(11)","SS1_Valve_ms(12)","SS1_Valve_ms(13)","SS1_Valve_ms(14)","SS1_Valve_ms(15)","SS1_Valve_ms(16)","SS2_Valve_ms(1)","SS2_Valve_ms(2)","SS2_Valve_ms(3)","SS2_Valve_ms(4)","SS2_Valve_ms(5)","SS2_Valve_ms(6)","SS2_Valve_ms(7)","SS2_Valve_ms(8)","SS2_Valve_ms(9)","SS2_Valve_ms(10)","SS2_Valve_ms(11)","SS2_Valve_ms(12)","SS2_Valve_ms(13)","SS2_Valve_ms(14)","SS2_Valve_ms(15)","SS2_Valve_ms(16)","Atom_Pct_CO2","H2O_Pct","CO2_Cyl_Press","Chamber_T(1)","Chamber_T(2)","Chamber_T(3)","Chamber_T(4)","Chamber_T(5)","Chamber_T(6)","Chamber_T(7)","Chamber_T(8)","Chamber_T(9)","Chamber_T(10)","Chamber_T(11)","Chamber_T(12)","Chamber_T(13)","Chamber_T(14)","Chamber_T(15)","Chamber_T(16)","Chamber_T(17)","Chamber_T(18)","Chamber_T(19)","Chamber_T(20)","Chamber_T(21)","Chamber_T(22)","Chamber_T(23)","Chamber_T(24)","Chamber_T(25)","Chamber_T(26)","Chamber_T(27)","Chamber_T(28)","Chamber_T(29)","Chamber_T(30)","Chamber_T(31)","Chamber_T(32)","PAR_Den(1)","PAR_Den(2)","PAR_Den(3)","PAR_Den(4)","PAR_Den(5)","PAR_Den(6)","PAR_Den(7)","PAR_Den(8)","PAR_Den(9)","PAR_Den(10)","PAR_Den(11)","PAR_Den(12)","PAR_Den(13)","PAR_Den(14)","PAR_Den(15)","PAR_Den(16)"
"TS","RN","","V","°C","","kPa","kPa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Smp","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-03-18 19:23:15",0,"NAN",11.79,20.96,800,0,5.051046,"1CP16 ","2CP01 ","3CP17 ","4CP17 ",6.76538,"ERR:3001     Measurement System Disabled	2019-03-18 19:30:01.855 ","NAN",9.82,24.56,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN",1.082,1.082,1.082,1.082,1.01,0.938,0.938,0.938,0.938,0.866,0.794,0.794,0.794,0.794,0.794,0.722,0.833,0.833,0.833,0.833,0.777,0.722,0.722,0.722,0.722,0.666,0.611,0.611,0.611,0.611,0.611,0.555,"NAN","NAN",782.7,16.78,-99,-96.3,16.69,16.67,16.76,16.55,16.68,16.64,23.65,16.74,16.75,16.51,16.47,16.13,16.68,16.07,16.36,13.72,16.54,16.47,16.84,16.63,19.81,16.45,17.15,16.21,-108.9,16.47,16.76,16.58,16.76,8.27,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 19:28:15",1,1.552963E+09,11.82,21.31,800,0,5.05105,"1CP02 ","2CP02 ","3CP18 ","4CP18 ",4.510193,"1.997;-37.415;2.012;-41.051;0.006;892.076;208.795;19826.479;1552962896.078 ",892,452.4,1131,9.28,408.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN",0.649,0.577,0.577,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.433,0.433,0.433,0.433,0.433,0.433,0.5,0.444,0.444,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.333,0.333,0.333,0.333,0.333,0.333,18.97,0.006,782.7,15.85,-102.7,-99,15.68,15.63,15.8,15.63,15.86,15.75,23.11,15.86,15.77,15.52,15.55,15.37,15.69,15.22,15.51,13.14,15.67,15.49,15.75,15.67,18.9,15.47,"NAN",15.43,-102.7,15.61,15.39,15.75,15.89,8.27,4.51,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 19:33:15",2,1.552963E+09,11.86,21.72,800,0,5.050899,"1CP03 ","2CP03 ","3CP19 ","4CP19 ",1.503384,"2.003;-32.972;2.021;-40.222;0.006;877.711;153.752;14587.070;1552963195.250 ",878,493.3,1233,9.28,408.6,486.5,0,0,0,0,0,0,0,0,0,0,0,0,0,908,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN",0.361,0.361,0.361,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.216,0.216,0.216,0.216,0.278,0.278,0.278,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.167,0.167,0.167,0.167,14.91,0.006,782.6,15.1,-99,-99,14.94,14.9,15.1,14.9,15.14,15.02,20.9,15.24,15.05,14.75,14.91,14.76,15.04,14.69,14.83,12.6,15.02,14.8,15,14.9,18.21,14.76,"NAN",14.82,-102.7,14.92,14.63,15.12,15.22,8.27,4.51,2.255,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 19:38:15",3,1.552964E+09,11.84,22.08,800,0,5.050752,"1CP04 ","2CP04 ","3CP20 ","4CP20 ",0.7516876,"2.005;-38.246;2.028;-44.333;0.006;839.063;153.692;15298.831;1552963496.669 ",839,512.4,1281,9.28,408.6,486.5,503.6,0,0,0,0,0,0,0,0,0,0,0,0,908,1166,1026,0,0,0,0,0,0,0,0,0,0,0,0,"NAN",0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.072,0.072,0.072,0.072,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.056,0.056,0.056,0.056,15.48,0.006,782.6,14.64,-99,-102.7,14.51,14.5,14.71,14.51,14.71,14.59,20.69,14.86,14.62,14.3,14.48,14.36,14.66,14.37,14.39,12.17,14.62,14.36,14.55,14.43,17.78,14.37,"NAN",14.49,-108.9,14.51,14.26,14.77,14.81,8.27,4.51,2.255,0.752,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 19:43:15",4,1.552964E+09,11.86,22.42,801,0,5.050691,"1CP05 ","2CP05 ","3CP21 ","4CP21 ",0,"2.005;-39.501;2.006;-37.063;0.005;843.880;130.016;12709.160;1552963795.380 ",844,577.9,1445,9.28,408.6,486.5,503.6,565.2,0,0,0,0,0,0,0,0,0,0,0,908,1166,1026,1005,0,0,0,0,0,0,0,0,0,0,0,"NAN",0.072,0.072,0.072,0.072,1,1,1,1,1,1,1,1,1,1,1,1,0.056,0.056,0.056,0.056,1,1,1,1,1,1,1,1,1,1,1,0,13.35,0.005,781.8,14.2,-102.7,-102.7,14.1,14.11,14.3,14.12,14.3,14.16,21.4,14.45,14.2,13.85,14.03,13.93,14.18,13.98,13.96,11.87,14.21,14,14.11,13.97,17.41,13.97,"NAN",14.07,-108.9,14.08,13.85,14.34,14.36,8.27,4.51,2.255,0.752,0,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 19:48:15",5,1.552964E+09,11.89,22.78,800,0,5.050714,"1CP06 ","2CP06 ","3CP22 ","4CP22 ",0,"2.012;-45.881;2.032;-50.195;0.006;822.997;92.240;8972.757;1552964095.402 ",823,597,1492,9.28,408.6,486.5,503.6,565.2,587.9,0,0,0,0,0,0,0,0,0,0,908,1166,1026,1005,989,0,0,0,0,0,0,0,0,0,0,"NAN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10.08,0.006,781.8,13.84,-99,-99,13.71,13.75,13.92,13.76,13.9,13.77,14.92,14.13,13.83,13.49,13.65,13.57,13.85,13.56,13.55,11.62,13.79,13.66,13.74,13.58,16.93,13.56,"NAN",13.69,-102.7,13.65,13.44,13.92,13.91,8.27,4.51,2.255,0.752,0,0,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 19:53:15",6,1.552964E+09,11.85,23.07,800,0,5.050616,"1CP07 ","2CP07 ","3CP23 ","4CP23 ",0,"2.014;-42.175;2.020;-42.032;0.005;883.541;90.016;8065.630;1552964395.862 ",884,617.2,1543,9.28,408.6,486.5,503.6,565.2,587.9,610.9,0,0,0,0,0,0,0,0,0,908,1166,1026,1005,989,917,0,0,0,0,0,0,0,0,0,"NAN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9.25,0.005,781.8,13.56,-99,-102.7,13.41,13.45,13.59,13.41,13.56,13.45,14.63,13.82,13.53,13.15,13.32,13.29,13.52,13.21,13.19,11.24,13.39,13.3,13.45,13.3,16.44,13.22,"NAN",13.35,-108.9,13.32,13.07,13.54,13.54,8.27,4.51,2.255,0.752,0,0,0,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 19:58:15",7,1.552965E+09,11.84,23.41,801,0,5.050467,"1CP08 ","2CP08 ","3CP24 ","4CP24 ",0,"2.014;-40.035;2.019;-38.114;0.006;859.095;87.586;8071.757;1552964697.095 ",859,616.1,1540,9.28,408.6,486.5,503.6,565.2,587.9,610.9,606.4,0,0,0,0,0,0,0,0,908,1166,1026,1005,989,917,1000,0,0,0,0,0,0,0,0,"NAN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9.25,0.006,780.2,13.25,-99,-99,13.09,13.12,13.25,13.08,13.18,13.11,14.29,13.43,13.16,12.82,12.98,12.97,13.18,12.94,12.88,11.07,13.1,12.99,13.17,13.03,16.15,12.89,"NAN",13.02,-102.7,13,12.8,13.21,13.24,8.27,4.51,2.255,0.752,0,0,0,0,12.78,12.78,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 20:03:15",8,1.552965E+09,11.84,23.67,800,0,5.050335,"1CP09 ","2CP09 ","3CP25 ","4CP25 ",0,"2.011;-46.966;2.027;-50.435;0.006;837.049;62.396;5632.869;1552964995.455 ",837,768.3,1921,9.28,408.6,486.5,503.6,565.2,587.9,610.9,606.4,756.9,0,0,0,0,0,0,0,908,1166,1026,1005,989,917,1000,954,0,0,0,0,0,0,0,"NAN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6.937,0.006,781,13.14,-102.7,-102.7,12.97,13.03,13.15,12.98,13.03,13,14.17,13.32,13.1,12.72,12.91,12.89,13.1,12.89,12.75,10.92,12.98,12.92,13.06,12.96,16.23,12.74,"NAN",12.89,-108.9,12.92,12.68,13.12,13.18,8.27,4.51,2.255,0.752,0,0,0,0,0,12.78,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 20:08:15",9,1.552965E+09,11.87,24.01,800,0,5.050267,"1CP10 ","2CP10 ","3CP26 ","4CP26 ",0,"1.988;-39.055;2.001;-41.145;0.006;914.832;124.220;11082.254;1552965296.654 ",915,841,2104,9.28,408.6,486.5,503.6,565.2,587.9,610.9,606.4,756.9,829,0,0,0,0,0,0,908,1166,1026,1005,989,917,1000,954,910,0,0,0,0,0,0,"NAN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,11.96,0.006,781,13,-99,-99,12.84,12.92,12.96,12.89,12.9,12.88,14.04,13.18,12.93,12.6,12.77,12.75,12.96,12.68,12.54,10.97,12.75,12.71,12.96,12.81,16.07,12.59,"NAN",12.66,-108.9,12.74,12.49,12.95,12.95,8.27,4.51,2.255,0.752,0,0,0,0,0,0,12.78,12.78,12.78,12.78,12.78,12.78
"2019-03-18 20:13:15",10,1.552966E+09,11.88,24.25,801,0,5.050233,"1CP11 ","2CP11 ","3CP27 ","4CP27 ",0,"1.989;-28.644;2.005;-36.097;0.006;908.566;123.866;11130.953;1552965595.187 ",909,875,2187,9.28,408.6,486.5,503.6,565.2,587.9,610.9,606.4,756.9,829,864,0,0,0,0,0,908,1166,1026,1005,989,917,1000,954,910,1091,0,0,0,0,0,"NAN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12,0.006,780.2,12.93,-99,-102.7,12.78,12.9,12.89,12.82,12.81,12.82,13.98,13.09,12.84,12.54,12.7,12.69,12.87,12.63,12.5,11.17,12.64,12.63,12.92,12.79,15.89,12.54,"NAN",12.56,-108.9,12.66,12.48,12.89,12.82,8.27,4.51,2.255,0.752,0,0,0,0,0,0,0,12.78,12.78,12.78,12.78,12.78
