Plot	Reco.ugC.s.m2	Water	Date
P01	30.4333205879716	full	3/19/19
P01	43.4232164204687	full	3/20/19
P01	22.9590036616215	full	3/21/19
P01	26.3664293015429	full	3/22/19
P01	20.5242923045174	full	3/23/19
P01	16.4418410677815	full	3/24/19
P01	14.2398031028169	full	3/25/19
P01	27.6588798856474	full	3/26/19
P01	27.0902865938474	full	3/27/19
P01	20.3378834214344	full	3/28/19
P01	23.92442694389	full	3/29/19
P01	21.4132835994901	full	3/30/19
P01	23.8059575887698	full	3/31/19
P02	27.7894296299801	half	3/19/19
P02	28.742671620374	half	3/20/19
P02	22.8899139313231	half	3/21/19
P02	23.546491817361	half	3/22/19
P02	18.7699329409093	half	3/23/19
P02	18.4776809893078	half	3/24/19
P02	14.2415512265733	half	3/25/19
P02	22.2038406903964	half	3/26/19
P02	25.3125353145722	half	3/27/19
P02	20.033975477123	half	3/28/19
P02	20.9003980715612	half	3/29/19
P02	23.4971211505173	half	3/30/19
P02	26.5657397536093	half	3/31/19
P03	14.3509849926431	full	3/19/19
P03	32.6021938200027	full	3/20/19
P03	16.3866542526607	full	3/21/19
P03	16.2865101281547	full	3/22/19
P03	14.4086228420823	full	3/23/19
P03	11.9066135808849	full	3/24/19
P03	9.57947621938528	full	3/25/19
P03	16.7875678734611	full	3/26/19
P03	22.9722865971361	full	3/27/19
P03	14.2948649363315	full	3/28/19
P03	14.5974123764328	full	3/29/19
P03	19.2238192725573	full	3/30/19
P03	18.6138568853712	full	3/31/19
P04	14.6039416318933	half	3/19/19
P04	32.9318275874044	half	3/20/19
P04	20.2158341254587	half	3/21/19
P04	19.3496376657712	half	3/22/19
P04	19.5414696117572	half	3/23/19
P04	13.8027717748538	half	3/24/19
P04	15.5243872890614	half	3/25/19
P04	23.4910821186615	half	3/26/19
P04	23.3545071111059	half	3/27/19
P04	12.3101733102818	half	3/28/19
P04	17.5805664298717	half	3/29/19
P04	17.9582492899758	half	3/30/19
P04	19.6697878553777	half	3/31/19
P05	17.8616313213004	half	3/19/19
P05	25.2763299885183	half	3/20/19
P05	17.0490058900039	half	3/21/19
P05	17.1246590610058	half	3/22/19
P05	19.4953261637264	half	3/23/19
P05	12.9699516743847	half	3/24/19
P05	11.0271450534683	half	3/25/19
P05	22.1123662298605	half	3/26/19
P05	20.8702076906119	half	3/27/19
P05	5.77390063659749	half	3/28/19
P05	9.51116323374523	half	3/29/19
P05	16.3593160630243	half	3/30/19
P05	20.7037753183256	half	3/31/19
P06	15.9105402263992	full	3/20/19
P06	7.98375950315526	full	3/21/19
P06	15.2457227134666	full	3/22/19
P06	19.3655508638068	full	3/23/19
P06	11.2974470621896	full	3/24/19
P06	9.63431034952137	full	3/26/19
P06	18.6150428225488	full	3/27/19
P06	8.40420943179434	full	3/28/19
P06	10.8543763977818	full	3/29/19
P06	12.9484905100753	full	3/30/19
P06	11.812473806111	full	3/31/19
P07	8.51011030208472	full	3/19/19
P07	30.752009613622	full	3/20/19
P07	18.1131993721448	full	3/21/19
P07	11.8133151503926	full	3/22/19
P07	17.8305453171094	full	3/23/19
P07	11.0066150533008	full	3/24/19
P07	21.4416045280494	full	3/26/19
P07	32.5665301484136	full	3/27/19
P07	14.5890572175435	full	3/28/19
P07	12.5974101169516	full	3/29/19
P07	15.5730874992621	full	3/30/19
P07	19.519993232443	full	3/31/19
P08	26.9293673606594	full	3/20/19
P08	17.0350340983418	full	3/21/19
P08	24.4703849373209	full	3/22/19
P08	23.2509532037183	full	3/23/19
P08	16.2417081127472	full	3/24/19
P08	16.2011902988723	full	3/26/19
P08	21.6758486233409	full	3/27/19
P08	9.29174879364007	full	3/28/19
P08	16.0828350030333	full	3/29/19
P08	14.1750949907032	full	3/30/19
P08	16.004390547916	full	3/31/19
P09	12.2309739380147	half	3/19/19
P09	40.3936617353651	half	3/20/19
P09	20.8474422265719	half	3/21/19
P09	12.5136941725129	half	3/22/19
P09	30.7159167111099	half	3/23/19
P09	18.8523909248359	half	3/24/19
P09	23.9584947956505	half	3/26/19
P09	24.6024407385188	half	3/27/19
P09	11.9543600968365	half	3/28/19
P09	21.5602819431577	half	3/29/19
P09	15.3297335474236	half	3/30/19
P09	19.3085930445549	half	3/31/19
P10	29.7936841261686	half	3/19/19
P10	29.9102157472145	half	3/20/19
P10	33.6468340637591	half	3/21/19
P10	29.3300260722476	half	3/22/19
P10	19.1525937926002	half	3/23/19
P10	23.34979737902	half	3/24/19
P10	22.0037185920672	half	3/25/19
P10	23.2323186783728	half	3/26/19
P10	21.5742728757759	half	3/27/19
P10	20.4958743748371	half	3/28/19
P10	24.3697938073189	half	3/29/19
P10	19.0817031043939	half	3/30/19
P10	25.3400053718911	half	3/31/19
P11	41.4816209118291	half	3/19/19
P11	35.320228985216	half	3/20/19
P11	35.5880348764979	half	3/21/19
P11	38.7261659452869	half	3/22/19
P11	27.763261345002	half	3/23/19
P11	29.940126277863	half	3/24/19
P11	23.8420211741648	half	3/25/19
P11	30.4727319355331	half	3/26/19
P11	26.9225482518332	half	3/27/19
P11	27.9665670101466	half	3/28/19
P11	28.3732648320474	half	3/29/19
P11	30.7080915452761	half	3/30/19
P11	39.0953326591567	half	3/31/19
P12	32.8831026892906	half	3/19/19
P12	38.1243196420492	half	3/20/19
P12	38.2463752749425	half	3/21/19
P12	32.3190372217838	half	3/22/19
P12	31.807398971022	half	3/23/19
P12	27.7146765411158	half	3/24/19
P12	21.0301160427476	half	3/25/19
P12	26.2816525238167	half	3/26/19
P12	27.6076780173048	half	3/27/19
P12	27.5785365591744	half	3/28/19
P12	26.5350882344225	half	3/29/19
P12	25.1226496672604	half	3/30/19
P12	31.6971388351042	half	3/31/19
P13	10.6606663919289	half	3/19/19
P13	24.6277442611143	half	3/20/19
P13	24.2955584597938	half	3/21/19
P13	8.71546800631494	half	3/22/19
P13	23.2020063210525	half	3/23/19
P13	8.8601626337039	half	3/24/19
P13	13.4054284668178	half	3/25/19
P13	21.5775664896956	half	3/26/19
P13	19.0833967027243	half	3/27/19
P13	13.9655260722345	half	3/28/19
P13	18.0285537607418	half	3/29/19
P13	10.212048635326	half	3/30/19
P13	12.573570028787	half	3/31/19
P14	29.8090128928968	full	3/19/19
P14	42.9634212910364	full	3/20/19
P14	32.1775034823408	full	3/21/19
P14	17.6103051913435	full	3/22/19
P14	25.3257224030554	full	3/23/19
P14	21.1696596943532	full	3/24/19
P14	16.7645360523124	full	3/25/19
P14	28.3720129177497	full	3/26/19
P14	26.6407526524159	full	3/27/19
P14	23.3888865787079	full	3/28/19
P14	22.7006725730045	full	3/29/19
P14	22.0284187105512	full	3/30/19
P14	24.7874645627458	full	3/31/19
P15	19.5480742706625	full	3/19/19
P15	19.8328691141505	full	3/20/19
P15	22.8234235870463	full	3/21/19
P15	20.8799540009671	full	3/22/19
P15	27.3380432360032	full	3/23/19
P15	16.8138756400945	full	3/24/19
P15	18.9716477179893	full	3/26/19
P15	11.7363498742637	full	3/27/19
P15	17.9978043988574	full	3/29/19
P15	14.0903160437336	full	3/30/19
P15	17.031565281864	full	3/31/19
P16	21.9156687390095	full	3/19/19
P16	31.5153609100691	full	3/20/19
P16	20.3042242644923	full	3/21/19
P16	18.5973572619324	full	3/22/19
P16	17.329918500081	full	3/23/19
