Plot	Reco.ugC.s.m2	Water	Date	Labeling
P01	9.573190717	full	2/12/18	L1
P01	13.45252391	full	2/13/18	L1
P01	17.67183813	full	2/14/18	L1
P01	12.90930199	full	2/15/18	L1
P01	9.620498837	full	2/16/18	L1
P02	4.946142552	half	2/14/18	L1
P02	1.989845986	half	2/15/18	L1
P03	5.67201145	full	2/12/18	L1
P03	7.777864511	full	2/15/18	L1
P03	3.231591864	full	2/16/18	L1
P04	7.857905569	half	2/12/18	L1
P04	9.29534099	half	2/14/18	L1
P05	11.87384555	half	2/12/18	L1
P05	6.838300555	half	2/13/18	L1
P05	9.698610658	half	2/14/18	L1
P05	8.570617462	half	2/15/18	L1
P05	6.220313795	half	2/16/18	L1
P06	3.572992028	full	2/12/18	L1
P06	4.191663507	full	2/15/18	L1
P07	11.87291549	full	2/14/18	L1
P07	17.06768014	full	2/16/18	L1
P08	8.331582729	full	2/14/18	L1
P09	11.87359369	half	2/12/18	L1
P09	10.15824906	half	2/13/18	L1
P09	16.03634258	half	2/14/18	L1
P09	14.5272761	half	2/15/18	L1
P09	11.93843746	half	2/16/18	L1
P10	8.48686215	half	2/12/18	L1
P10	4.888857044	half	2/13/18	L1
P10	8.28592759	half	2/14/18	L1
P10	8.222235191	half	2/15/18	L1
P11	7.258610539	half	2/12/18	L1
P11	8.038286315	half	2/13/18	L1
P11	8.801314692	half	2/14/18	L1
P11	4.515536468	half	2/15/18	L1
P11	5.371990881	half	2/16/18	L1
P12	5.172510926	half	2/13/18	L1
P13	13.08626466	half	2/12/18	L1
P13	5.06923587	half	2/14/18	L1
P14	10.48518746	full	2/12/18	L1
P14	9.759790376	full	2/13/18	L1
P14	8.128187908	full	2/14/18	L1
P14	7.328184954	full	2/15/18	L1
P14	9.570050447	full	2/16/18	L1
P15	8.953002369	full	2/12/18	L1
P15	11.43460747	full	2/13/18	L1
P15	8.912298929	full	2/14/18	L1
P15	9.455083889	full	2/15/18	L1
P15	7.761406584	full	2/16/18	L1
P16	19.88385368	full	2/13/18	L1
P16	11.05426196	full	2/16/18	L1
P01	32.12626063	full	4/26/18	L2
P02	54.27829998	half	4/26/18	L2
P03	40.6480967	full	4/26/18	L2
P04	37.56571336	half	4/26/18	L2
P05	41.56778503	half	4/26/18	L2
P06	4.851467671	full	4/26/18	L2
P07	47.81864288	full	4/26/18	L2
P08	36.77736984	full	4/26/18	L2
P09	36.0015546	half	4/26/18	L2
P10	29.2835817	half	4/26/18	L2
P11	51.86311292	half	4/26/18	L2
P12	82.46900773	half	4/26/18	L2
P13	56.01049196	half	4/26/18	L2
P14	26.23633441	full	4/26/18	L2
P15	59.42303867	full	4/26/18	L2
P16	71.59287732	full	4/26/18	L2
P01	32.82816225	full	3/19/19	L3
P01	46.82341206	full	3/20/19	L3
P01	24.56304864	full	3/21/19	L3
P01	28.16846206	full	3/22/19	L3
P01	22.49875765	full	3/23/19	L3
P01	17.71094553	full	3/24/19	L3
P01	15.16126	full	3/25/19	L3
P01	29.58427916	full	3/26/19	L3
P01	28.88652092	full	3/27/19	L3
P01	21.69863751	full	3/28/19	L3
P01	25.45061786	full	3/29/19	L3
P01	22.94072383	full	3/30/19	L3
P01	25.47511114	full	3/31/19	L3
P02	30.10850013	half	3/19/19	L3
P02	30.91075763	half	3/20/19	L3
P02	24.51221296	half	3/21/19	L3
P02	25.11589629	half	3/22/19	L3
P02	20.60573181	half	3/23/19	L3
P02	19.8919776	half	3/24/19	L3
P02	15.16393856	half	3/25/19	L3
P02	23.77388331	half	3/26/19	L3
P02	27.01483249	half	3/27/19	L3
P02	21.35395134	half	3/28/19	L3
P02	22.22711081	half	3/29/19	L3
P02	25.13173978	half	3/30/19	L3
P02	28.42964482	half	3/31/19	L3
P03	15.47917316	full	3/19/19	L3
P03	35.0621836	full	3/20/19	L3
P03	17.53637545	full	3/21/19	L3
P03	17.33272387	full	3/22/19	L3
P03	15.89753486	full	3/23/19	L3
P03	12.83826775	full	3/24/19	L3
P03	10.2478144	full	3/25/19	L3
P03	17.97562477	full	3/26/19	L3
P03	24.41716191	full	3/27/19	L3
P03	15.27919873	full	3/28/19	L3
P03	15.46354072	full	3/29/19	L3
P03	20.60194451	full	3/30/19	L3
P03	19.9139759	full	3/31/19	L3
P04	15.64857236	half	3/19/19	L3
P04	35.45056433	half	3/20/19	L3
P04	21.66022222	half	3/21/19	L3
P04	20.60735009	half	3/22/19	L3
P04	21.33750628	half	3/23/19	L3
P04	14.89739863	half	3/24/19	L3
P04	16.57688018	half	3/25/19	L3
P04	25.12712355	half	3/26/19	L3
P04	24.88547617	half	3/27/19	L3
P04	13.17852887	half	3/28/19	L3
P04	18.68256979	half	3/29/19	L3
