"DATE"	"TIME"	"FRAC_DAYS_SINCE_JAN1"	"FRAC_HRS_SINCE_JAN1"	"EPOCH_TIME"	"ALARM_STATUS"	"INST_STATUS"	"CavityPressure"	"CavityTemp"	"WarmBoxTemp"	"DasTemp"	"OutletValve"	"HR_12CH4"	"HR_12CH4_dry"	"HR_Delta_iCH4_Raw"	"HR_Delta_iCH4_30s"	"HR_Delta_iCH4_2min"	"HR_Delta_iCH4_5min"	"ChemDetect"	"H2O"	"X12CO2"	"X12CO2_dry"	"X13CO2"	"Delta_Raw_iCO2"	"Delta_30s_iCO2"	"Delta_2min_iCO2"	"Delta_5min_iCO2"
"2018-06-13"	"18:39:56.260"	163.44440117	3922.665628	1528915196.261	0	963	148.00488851	45.014152527	44.972892761	39.5625	32449.619956	1.8864874069	1.8923953369	-103.70206643	-105.6433382	-105.88447655	-111.25852296	0	0.1986014163	406.22638873	407.63121286	4.3043282777	-60.320300596	-63.298883025	-71.181317143	-87.995659587
"2018-06-13"	"18:39:57.553"	163.44441613	3922.665987	1528915197.554	0	963	148.0004926	45.014152527	44.972892761	39.5625	32445.273641	1.8984239441	1.9043251473	-108.60413852	-105.74510351	-105.84033276	-111.22615242	0	0.19560348989	406.22638873	407.63121286	4.3043282777	-60.320300596	-63.298883025	-71.181317143	-87.995659587
"2018-06-13"	"18:39:58.970"	163.44443253	3922.666381	1528915198.971	0	963	147.99972646	45.014152527	44.972892761	39.5625	32442.49756	1.8984239441	1.9043251473	-108.60413852	-105.74510351	-105.84033276	-111.22615242	0	0.19560348989	406.22638873	407.63121286	4.3043282777	-60.320300596	-63.298883025	-71.181317143	-87.995659587
"2018-06-13"	"18:39:59.470"	163.44443831	3922.666519	1528915199.47	0	963	148.00189114	45.014152527	44.972892761	39.5625	32443.96637	1.8984239441	1.9043251473	-108.60413852	-105.74510351	-105.84033276	-111.22615242	0	0.19560348989	406.21602633	407.59945686	4.3039929543	-60.320300596	-63.298883025	-71.181317143	-87.995659587
"2018-06-13"	"18:39:59.973"	163.44444414	3922.666659	1528915199.974	0	963	148.00210571	45.014152527	44.972892761	39.5625	32444.257812	1.8984239441	1.9043251473	-108.60413852	-105.74510351	-105.84033276	-111.22615242	0	0.19560348989	406.21602633	407.59945686	4.3112626747	-58.733121273	-62.64883991	-70.495274253	-87.638799364
"2018-06-13"	"18:40:01.259"	163.44445902	3922.667016	1528915201.259	0	963	148.00174557	45.014292399	44.972613017	39.5625	32447.346399	1.8763541891	1.8820977429	-99.301547846	-104.92683191	-105.43684579	-111.02194809	0	0.19486337904	406.21602633	407.59945686	4.3112626747	-58.733121273	-62.64883991	-70.495274253	-87.638799364
"2018-06-13"	"18:40:02.663"	163.44447527	3922.667406	1528915202.663	0	963	147.99879422	45.014305115	44.972587585	39.5625	32444.146728	1.8763541891	1.8820977429	-99.301547846	-104.92683191	-105.43684579	-111.02194809	0	0.19486337904	406.21602633	407.59945686	4.3112626747	-58.733121273	-62.64883991	-70.495274253	-87.638799364
"2018-06-13"	"18:40:03.174"	163.44448118	3922.667548	1528915203.174	0	963	147.99871826	45.014305115	44.972587585	39.5625	32444.103516	1.8763541891	1.8820977429	-99.301547846	-104.92683191	-105.43684579	-111.02194809	0	0.19486337904	406.55395792	407.93326054	4.3147933843	-58.733121273	-62.64883991	-70.495274253	-87.638799364
"2018-06-13"	"18:40:03.674"	163.44448698	3922.667687	1528915203.675	0	963	148.00433769	45.014305115	44.972587585	39.538461538	32449.753162	1.8763541891	1.8820977429	-99.301547846	-104.92683191	-105.43684579	-111.02194809	0	0.19486337904	406.55395792	407.93326054	4.3054298922	-60.775755579	-62.112019224	-69.824261655	-86.907721008
"2018-06-13"	"18:40:04.967"	163.44450194	3922.668047	1528915204.968	0	963	148.00136786	45.014290492	44.972485224	39.525130208	32449.758476	1.8827706069	1.8885118114	-106.16681808	-105.28847897	-105.65108412	-110.91764865	0	0.19483933325	406.55395792	407.93326054	4.3054298922	-60.775755579	-62.112019224	-69.824261655	-86.907721008
