RecordID	GWC	Plot	Labeling	Harvest	Isotope	Water
1	0.150179395	P01	L1	T0	C13	full
2	0.18258427	P02	L1	T0	C13	half
3	0.172822492	P03	L1	T0	C13	full
4	0.182018147	P04	L1	T0	C13	half
5	0.180318544	P05	L1	T0	C13	half
6	0.211457708	P06	L1	T0	C13	full
7	0.185769574	P07	L1	T0	C13	full
8	0.089965398	P08	L1	T0	C13	full
9	0.170008472	P09	L1	T0	C13	half
10	0.193830194	P10	L1	T0	C13	half
11	0.116710183	P11	L1	T0	C13	half
12	0.182844244	P12	L1	T0	C13	half
13	0.129014989	P13	L1	T0	C13	half
14	0.190970275	P14	L1	T0	C13	full
15	0.205260304	P15	L1	T0	C13	full
16	0.183228968	P16	L1	T0	C13	full
17	0.198045603	P01	L1	T0	C12	full
18	0.168257431	P02	L1	T0	C12	half
19	0.146982385	P03	L1	T0	C12	full
20	0.134642356	P04	L1	T0	C12	half
21	0.165419784	P05	L1	T0	C12	half
22	0.209007948	P06	L1	T0	C12	full
23	0.057752489	P07	L1	T0	C12	full
24	0.195888755	P08	L1	T0	C12	full
25	0.148544756	P09	L1	T0	C12	half
26	0.19375703	P10	L1	T0	C12	half
27	0.152472527	P11	L1	T0	C12	half
28	0.18552822	P12	L1	T0	C12	half
29	0.156755275	P13	L1	T0	C12	half
30	0.162895928	P14	L1	T0	C12	full
31	0.206578188	P15	L1	T0	C12	full
32	0.161002786	P16	L1	T0	C12	full
33	0.168008886	P01	L1	T1	C13	full
34	0.115265601	P02	L1	T1	C13	half
35	0.117010569	P03	L1	T1	C13	full
36	0.15301479	P04	L1	T1	C13	half
37	0.127665245	P05	L1	T1	C13	half
38	0.205630693	P06	L1	T1	C13	full
39	0.169614381	P07	L1	T1	C13	full
40	0.164828787	P08	L1	T1	C13	full
41	0.157498552	P09	L1	T1	C13	half
42	0.154265467	P10	L1	T1	C13	half
43	0.141650239	P11	L1	T1	C13	half
44	0.153008596	P12	L1	T1	C13	half
45	0.123413449	P13	L1	T1	C13	half
46	0.168555652	P14	L1	T1	C13	full
47	0.142654566	P15	L1	T1	C13	full
48	0.184499711	P16	L1	T1	C13	full
49	0.07831158	P01	L1	T1	C12	full
50	0.142133333	P02	L1	T1	C12	half
51	0.141993163	P03	L1	T1	C12	full
52	0.130154278	P04	L1	T1	C12	half
53	0.164735099	P05	L1	T1	C12	half
54	0.120221607	P06	L1	T1	C12	full
55	0.171827057	P07	L1	T1	C12	full
56	0.152503577	P08	L1	T1	C12	full
57	0.150481431	P09	L1	T1	C12	half
58	0.176690647	P10	L1	T1	C12	half
59	0.152210884	P11	L1	T1	C12	half
60	0.166248257	P12	L1	T1	C12	half
61	0.150439966	P13	L1	T1	C12	half
62	0.154568038	P14	L1	T1	C12	full
63	0.152743985	P15	L1	T1	C12	full
64	0.205409975	P16	L1	T1	C12	full
65	0.205068453	P01	L1	T2	C13	full
66	0.23255814	P02	L1	T2	C13	half
67	0.245098039	P03	L1	T2	C13	full
68	0.224952741	P04	L1	T2	C13	half
69	0.246757355	P05	L1	T2	C13	half
70	0.228703436	P06	L1	T2	C13	full
71		P07	L1	T2	C13	full
72	0.234767025	P08	L1	T2	C13	full
73	0.192771084	P09	L1	T2	C13	half
74	0.234074074	P10	L1	T2	C13	half
75	0.192444973	P11	L1	T2	C13	half
76	0.228150874	P12	L1	T2	C13	half
77	0.234269663	P13	L1	T2	C13	half
78	0.268456376	P14	L1	T2	C13	full
79	0.217712177	P15	L1	T2	C13	full
80	0.224349387	P16	L1	T2	C13	full
81	0.209227153	P01	L1	T2	C12	full
82	0.25968523	P02	L1	T2	C12	half
83	0.222418879	P03	L1	T2	C12	full
84		P04	L1	T2	C12	half
85	0.271847507	P05	L1	T2	C12	half
86		P06	L1	T2	C12	full
87	0.280696662	P07	L1	T2	C12	full
88	0.2521875	P08	L1	T2	C12	full
89	0.203460621	P09	L1	T2	C12	half
90	0.30207394	P10	L1	T2	C12	half
91	0.233071342	P11	L1	T2	C12	half
