Timestamp.on	Timestamp.off	Water
11/09/2017 3:00:00 PM	11/20/2017 1:30:00 PM	full
11/09/2017 3:00:00 PM	11/20/2017 1:30:00 PM	half
01/18/2018 9:00:00 AM	01/23/2018 3:00:00 PM	full
01/18/2018 9:00:00 AM	01/23/2018 3:00:00 PM	half
03/06/2018 3:00:00 PM	03/23/2018 7:30:00 AM	full
03/06/2018 3:00:00 PM	03/23/2018 7:30:00 AM	half
04/09/2018 2:00:00 PM	04/18/2018 9:00:00 AM	full
04/09/2018 2:00:00 PM	04/18/2018 9:00:00 AM	half
10/03/2018 10:45:00 AM	10/31/2018 11:00:00 AM	full
10/03/2018 10:45:00 AM	10/31/2018 11:00:00 AM	half
11/26/2018 3:00:00 PM	12/13/2018 12:00:00 PM	full
11/26/2018 3:00:00 PM	12/13/2018 12:00:00 PM	half
12/20/2018 12:00:00 PM	01/04/2019 8:00:00 AM	full
12/20/2018 12:00:00 PM	01/04/2019 8:00:00 AM	half
01/09/2019 8:30:00 AM	01/15/2019 2:30:00 PM	full
01/09/2019 8:30:00 AM	01/23/2019 10:00:00 AM	half
02/06/2019 8:00:00 AM	02/21/2019 1:00:00 PM	half
02/13/2019 8:00:00 AM	02/21/2019 1:00:00 PM	full
02/25/2019 8:00:00 AM	03/11/2019 1:00:00 PM	half
02/26/2019 8:00:00 AM	03/11/2019 1:00:00 PM	full
04/03/2019 9:00:00 AM	04/09/2019 1:00:00 PM	full
04/03/2019 9:00:00 AM	04/09/2019 1:00:00 PM	half
05/14/2019 3:30:00 PM	05/22/2019 12:00:00 PM	half
12/02/2019 12:00:00 PM	01/02/2020 12:00:00 PM	half
12/09/2019 12:00:00 PM	12/17/2019 3:00:00 PM	full
01/10/2020 9:00:00 AM	01/28/2020 9:00:00 AM	half
03/16/2020 9:30:00 AM	03/21/2020 1:00:00 PM	full
03/16/2020 9:30:00 AM	04/08/2020 9:00:00 AM	half
