Date	Water	Water_gallon	Water_inch
11/15/2017	full	49.70	2.30
11/29/2017	full	30.30	1.40
12/13/2017	full	60.53	2.80
12/27/2017	full	67.02	3.10
2/7/2018	full	50.00	2.31
2/21/2018	full	68.00	3.15
2/26/2018	full	67.02	3.10
3/6/2018	full	30.26	1.40
3/28/2018	full	54.05	2.50
11/29/2017	half	4.30	0.20
12/13/2017	half	28.10	1.30
12/27/2017	half	34.59	1.60
2/7/2018	half	5.40	0.25
2/22/2018	half	34.59	1.60
3/28/2018	half	10.81	0.50
10/22/2018	full	4.30	0.20
11/6/2018	full	30.26	1.40
11/16/2018	full	41.00	1.90
12/27/2018	full	54.00	2.50
1/9/2019	full	32.40	1.50
1/23/2019	full	23.00	1.06
4/26/2019	full	43.20	2.00
11/6/2018	half	6.48	0.30
11/16/2018	half	19.45	0.90
4/26/2019	half	4.30	0.20
10/3/2019	full	7.50	0.35
10/17/2019	full	17.30	0.80
11/3/2019	full	47.56	2.20
11/14/2019	full	21.62	1.00
1/2/2020	full	80.00	3.70
1/10/2020	full	34.50	1.60
1/23/2020	full	30.60	1.42
2/4/2020	full	34.59	1.60
2/25/2020	full	20.00	0.93
10/3/2019	half	3.25	0.15
10/17/2019	half	8.60	0.40
11/3/2019	half	23.78	1.10
11/14/2019	half	10.81	0.50
2/4/2020	half	21.62	1.00
2/25/2020	half	10.00	0.46
